Date,Visitor,Home,BF V Odds,BF H Odds
21 Oct 2021,Chicago Bulls,Detroit Pistons,1.49,2.98
21 Oct 2021,Indiana Pacers,Charlotte Hornets,1.9,2.08
21 Oct 2021,Boston Celtics,New York Knicks,2.14,1.86
21 Oct 2021,Washington Wizards,Toronto Raptors,2.26,1.77
21 Oct 2021,Cleveland Cavaliers,Memphis Grizzlies,3.6,1.37
21 Oct 2021,Houston Rockets,Minnesota Timberwolves,3.25,1.43
21 Oct 2021,Philadelphia 76ers,New Orleans Pelicans,1.63,2.54
21 Oct 2021,Orlando Magic,San Antonio Spurs,3.25,1.42
21 Oct 2021,Oklahoma City Thunder,Utah Jazz,10.0,1.1
21 Oct 2021,Denver Nuggets,Phoenix Suns,3.25,1.43
21 Oct 2021,Sacramento Kings,Portland Trail Blazers,3.35,1.42
23 Oct 2021,Charlotte Hornets,Cleveland Cavaliers,1.73,2.3
23 Oct 2021,Indiana Pacers,Washington Wizards,2.06,1.91
23 Oct 2021,New York Knicks,Orlando Magic,1.34,3.7
23 Oct 2021,Brooklyn Nets,Philadelphia 76ers,1.69,2.36
23 Oct 2021,Toronto Raptors,Boston Celtics,3.4,1.4
23 Oct 2021,New Orleans Pelicans,Chicago Bulls,3.05,1.43
23 Oct 2021,Oklahoma City Thunder,Houston Rockets,2.24,1.72
23 Oct 2021,San Antonio Spurs,Denver Nuggets,3.6,1.35
23 Oct 2021,Phoenix Suns,Los Angeles Lakers,1.99,1.96
23 Oct 2021,Utah Jazz,Sacramento Kings,1.46,2.96
24 Oct 2021,Atlanta Hawks,Cleveland Cavaliers,1.33,3.4
24 Oct 2021,Miami Heat,Indiana Pacers,1.55,2.78
24 Oct 2021,Dallas Mavericks,Toronto Raptors,1.65,2.5
24 Oct 2021,Detroit Pistons,Chicago Bulls,4.3,1.29
24 Oct 2021,New Orleans Pelicans,Minnesota Timberwolves,3.45,1.36
24 Oct 2021,Milwaukee Bucks,San Antonio Spurs,1.38,3.5
24 Oct 2021,Phoenix Suns,Portland Trail Blazers,2.22,1.79
24 Oct 2021,Memphis Grizzlies,Los Angeles Clippers,2.66,1.55
25 Oct 2021,Charlotte Hornets,Brooklyn Nets,4.5,1.26
25 Oct 2021,Boston Celtics,Houston Rockets,1.46,2.96
25 Oct 2021,Orlando Magic,New York Knicks,6.4,1.15
25 Oct 2021,Philadelphia 76ers,Oklahoma City Thunder,1.34,3.65
25 Oct 2021,Golden State Warriors,Sacramento Kings,1.66,2.38
25 Oct 2021,Memphis Grizzlies,Los Angeles Lakers,2.96,1.46
26 Oct 2021,Boston Celtics,Charlotte Hornets,1.94,1.99
26 Oct 2021,Milwaukee Bucks,Indiana Pacers,1.76,2.3
26 Oct 2021,Chicago Bulls,Toronto Raptors,1.76,2.24
26 Oct 2021,Detroit Pistons,Atlanta Hawks,6.2,1.18
26 Oct 2021,Orlando Magic,Miami Heat,8.4,1.11
26 Oct 2021,Washington Wizards,Brooklyn Nets,3.55,1.37
26 Oct 2021,Cleveland Cavaliers,Denver Nuggets,5.4,1.2
26 Oct 2021,Portland Trail Blazers,Los Angeles Clippers,2.36,1.7
28 Oct 2021,Charlotte Hornets,Orlando Magic,1.48,2.94
28 Oct 2021,Atlanta Hawks,New Orleans Pelicans,1.45,3.1
28 Oct 2021,Indiana Pacers,Toronto Raptors,1.96,1.97
28 Oct 2021,Miami Heat,Brooklyn Nets,2.68,1.58
28 Oct 2021,Washington Wizards,Boston Celtics,2.78,1.55
28 Oct 2021,Los Angeles Lakers,Oklahoma City Thunder,1.27,3.85
28 Oct 2021,Minnesota Timberwolves,Milwaukee Bucks,3.4,1.4
28 Oct 2021,Memphis Grizzlies,Portland Trail Blazers,2.2,1.78
28 Oct 2021,Sacramento Kings,Phoenix Suns,3.85,1.34
28 Oct 2021,Cleveland Cavaliers,Los Angeles Clippers,3.8,1.32
 4 Nov 2021,Philadelphia 76ers,Detroit Pistons,1.47,2.92
 4 Nov 2021,Boston Celtics,Miami Heat,3.2,1.43
 4 Nov 2021,Utah Jazz,Atlanta Hawks,1.89,2.1
 5 Nov 2021,Brooklyn Nets,Detroit Pistons,1.2,5.5
 5 Nov 2021,Memphis Grizzlies,Washington Wizards,1.96,1.99
 5 Nov 2021,San Antonio Spurs,Orlando Magic,1.63,2.5
 5 Nov 2021,Cleveland Cavaliers,Toronto Raptors,2.96,1.47
 5 Nov 2021,New York Knicks,Milwaukee Bucks,2.72,1.54
 6 Nov 2021,Houston Rockets,Denver Nuggets,5.8,1.2
 6 Nov 2021,Utah Jazz,Miami Heat,2.24,1.74
 7 Nov 2021,Brooklyn Nets,Toronto Raptors,1.66,2.48
 7 Nov 2021,Cleveland Cavaliers,New York Knicks,3.7,1.35
 7 Nov 2021,Indiana Pacers,Sacramento Kings,2.2,1.6
 7 Nov 2021,Milwaukee Bucks,Washington Wizards,1.68,2.28
 7 Nov 2021,Utah Jazz,Orlando Magic,1.15,6.8
 9 Nov 2021,New York Knicks,Philadelphia 76ers,2.66,1.56
 9 Nov 2021,Brooklyn Nets,Chicago Bulls,2.14,1.84
 9 Nov 2021,Minnesota Timberwolves,Memphis Grizzlies,3.05,1.44
 9 Nov 2021,New Orleans Pelicans,Dallas Mavericks,4.1,1.24
 9 Nov 2021,Miami Heat,Denver Nuggets,1.81,2.2
 9 Nov 2021,Atlanta Hawks,Golden State Warriors,2.46,1.64
 9 Nov 2021,Phoenix Suns,Sacramento Kings,1.74,2.3
 9 Nov 2021,Charlotte Hornets,Los Angeles Lakers,2.18,1.73
11 Nov 2021,Brooklyn Nets,Orlando Magic,1.27,4.5
11 Nov 2021,Washington Wizards,Cleveland Cavaliers,1.69,2.34
11 Nov 2021,Detroit Pistons,Houston Rockets,2.58,1.55
11 Nov 2021,Milwaukee Bucks,New York Knicks,2.34,1.71
11 Nov 2021,Charlotte Hornets,Memphis Grizzlies,2.82,1.54
11 Nov 2021,Dallas Mavericks,Chicago Bulls,2.52,1.63
11 Nov 2021,Oklahoma City Thunder,New Orleans Pelicans,2.68,1.57
11 Nov 2021,Sacramento Kings,San Antonio Spurs,1.96,2.02
11 Nov 2021,Indiana Pacers,Denver Nuggets,1.58,2.42
11 Nov 2021,Portland Trail Blazers,Phoenix Suns,2.96,1.45
11 Nov 2021,Miami Heat,Los Angeles Lakers,1.58,2.58
11 Nov 2021,Minnesota Timberwolves,Golden State Warriors,3.55,1.37
13 Nov 2021,New York Knicks,Charlotte Hornets,1.87,2.1
13 Nov 2021,Detroit Pistons,Cleveland Cavaliers,2.92,1.49
13 Nov 2021,Milwaukee Bucks,Boston Celtics,1.8,2.2
13 Nov 2021,Brooklyn Nets,New Orleans Pelicans,1.33,3.85
13 Nov 2021,Phoenix Suns,Memphis Grizzlies,2.0,1.92
13 Nov 2021,Portland Trail Blazers,Houston Rockets,1.41,3.25
13 Nov 2021,Sacramento Kings,Oklahoma City Thunder,1.56,2.68
13 Nov 2021,Dallas Mavericks,San Antonio Spurs,1.78,2.24
13 Nov 2021,Atlanta Hawks,Denver Nuggets,2.92,1.51
13 Nov 2021,Chicago Bulls,Golden State Warriors,2.92,1.44
13 Nov 2021,Minnesota Timberwolves,Los Angeles Lakers,2.44,1.65
16 Nov 2021,Boston Celtics,Cleveland Cavaliers,1.75,2.02
16 Nov 2021,New Orleans Pelicans,Washington Wizards,2.42,1.68
16 Nov 2021,Sacramento Kings,Detroit Pistons,1.57,2.72
16 Nov 2021,Indiana Pacers,New York Knicks,2.38,1.68
16 Nov 2021,Orlando Magic,Atlanta Hawks,5.2,1.21
16 Nov 2021,Denver Nuggets,Dallas Mavericks,2.6,1.6
16 Nov 2021,Houston Rockets,Memphis Grizzlies,6.4,1.17
16 Nov 2021,Miami Heat,Oklahoma City Thunder,1.23,4.3
16 Nov 2021,Phoenix Suns,Minnesota Timberwolves,1.6,2.56
16 Nov 2021,Toronto Raptors,Portland Trail Blazers,2.04,1.76
16 Nov 2021,Chicago Bulls,Los Angeles Lakers,2.0,1.88
17 Nov 2021,Golden State Warriors,Brooklyn Nets,2.32,1.74
17 Nov 2021,Philadelphia 76ers,Utah Jazz,4.5,1.27
17 Nov 2021,San Antonio Spurs,Los Angeles Clippers,3.5,1.37
